,steps,distance,runDistance,calories,date,day
133,8913,5733,443,188,2018-05-09,Wednesday
134,5987,4033,767,140,2018-05-10,Thursday
135,5012,3245,345,112,2018-05-11,Friday
136,5326,3593,232,121,2018-05-12,Saturday
137,3912,2540,293,96,2018-05-13,Sunday
138,5199,3383,336,115,2018-05-14,Monday
139,7763,5303,394,182,2018-05-15,Tuesday
140,7240,4832,464,157,2018-05-16,Wednesday
141,8366,5650,663,197,2018-05-17,Thursday
142,8297,5655,750,200,2018-05-18,Friday
143,6715,4276,529,160,2018-05-19,Saturday
144,5710,3731,642,128,2018-05-20,Sunday
145,6396,4239,453,148,2018-05-21,Monday
146,6748,4470,688,159,2018-05-22,Tuesday
147,4146,2641,476,93,2018-05-23,Wednesday
148,4616,3026,390,107,2018-05-24,Thursday
149,8282,5633,877,198,2018-05-25,Friday
150,9911,6792,866,230,2018-05-26,Saturday
151,2458,1646,138,57,2018-05-27,Sunday
152,11445,7987,930,282,2018-05-28,Monday
153,9434,6541,468,225,2018-05-29,Tuesday
154,5541,3763,272,136,2018-05-30,Wednesday
155,7494,5065,481,172,2018-05-31,Thursday
156,3143,2017,173,69,2018-06-01,Friday
157,1337,877,36,30,2018-06-02,Saturday
158,2125,1325,193,49,2018-06-03,Sunday
159,5483,3773,440,133,2018-06-04,Monday
160,11921,8136,496,279,2018-06-05,Tuesday
161,8243,5426,579,180,2018-06-06,Wednesday
162,5662,3737,431,124,2018-06-07,Thursday
163,6239,4084,579,140,2018-06-08,Friday
164,6572,4322,342,145,2018-06-09,Saturday
165,5797,3878,290,138,2018-06-10,Sunday
166,6534,4411,437,158,2018-06-11,Monday
167,5411,3539,485,119,2018-06-12,Tuesday
168,1928,1343,129,47,2018-06-13,Wednesday
169,8195,5664,313,196,2018-06-14,Thursday
170,4431,2893,293,101,2018-06-15,Friday
171,3314,2266,372,81,2018-06-16,Saturday
172,8237,5788,260,197,2018-06-17,Sunday
173,17113,11468,1690,389,2018-06-18,Monday
174,9184,5921,354,204,2018-06-19,Tuesday
175,9851,6477,315,214,2018-06-20,Wednesday
176,3145,2027,152,71,2018-06-21,Thursday
177,9681,6577,365,222,2018-06-22,Friday
178,7446,4945,435,168,2018-06-23,Saturday
179,9338,6480,774,229,2018-06-24,Sunday
180,10156,7243,157,257,2018-06-25,Monday
181,7659,5380,403,184,2018-06-26,Tuesday
182,3430,2322,171,78,2018-06-27,Wednesday
183,6446,4325,437,142,2018-06-28,Thursday
184,16949,11469,938,383,2018-06-29,Friday
185,9080,6253,1130,223,2018-06-30,Saturday
186,11287,7616,542,273,2018-07-01,Sunday
187,10805,6790,979,268,2018-07-02,Monday
188,24910,16750,1093,544,2018-07-03,Tuesday
189,22808,15157,772,489,2018-07-04,Wednesday
190,20005,13528,683,449,2018-07-05,Thursday
191,17979,11907,790,392,2018-07-06,Friday
192,7360,4651,652,187,2018-07-07,Saturday
193,2133,1405,196,59,2018-07-08,Sunday
194,14378,10207,822,358,2018-07-09,Monday
195,11167,7712,941,261,2018-07-10,Tuesday
196,5704,3744,231,127,2018-07-11,Wednesday
197,16610,11028,1214,362,2018-07-12,Thursday
198,5906,3852,452,135,2018-07-13,Friday
199,26184,16837,593,524,2018-07-14,Saturday
200,5316,3427,318,112,2018-07-15,Sunday
201,4081,2678,216,98,2018-07-16,Monday
202,5629,3735,581,130,2018-07-17,Tuesday
203,7318,4885,589,162,2018-07-18,Wednesday
204,5343,3589,475,134,2018-07-19,Thursday
205,3973,2720,303,92,2018-07-20,Friday
206,5328,3609,231,124,2018-07-21,Saturday
207,510,318,27,13,2018-07-22,Sunday
208,4253,2945,233,106,2018-07-23,Monday
209,3854,2553,270,91,2018-07-24,Tuesday
210,3005,2021,210,70,2018-07-25,Wednesday
211,7061,4826,568,169,2018-07-26,Thursday
212,3350,2162,290,83,2018-07-27,Friday
213,8810,5988,778,207,2018-07-28,Saturday
214,3735,2479,281,88,2018-07-29,Sunday
215,3707,2427,158,86,2018-07-30,Monday
216,5624,3689,387,128,2018-07-31,Tuesday
217,4185,2797,248,97,2018-08-01,Wednesday
218,4446,3005,276,108,2018-08-02,Thursday
219,6675,4387,537,162,2018-08-03,Friday
220,1283,800,97,30,2018-08-04,Saturday
221,2718,1822,195,66,2018-08-05,Sunday
222,135,84,10,4,2018-08-06,Monday
223,7224,4999,203,164,2018-08-07,Tuesday
224,3031,2036,183,71,2018-08-08,Wednesday
225,15,9,0,1,2018-08-09,Thursday
226,11,7,0,1,2018-08-10,Friday
227,0,0,0,0,2018-08-28,Tuesday
228,7010,4646,518,164,2018-08-29,Wednesday
229,7055,4735,233,158,2018-08-30,Thursday
230,2273,1434,127,50,2018-08-31,Friday
231,2651,1693,171,62,2018-09-01,Saturday
232,5465,3446,329,125,2018-09-02,Sunday
233,5498,3505,248,121,2018-09-03,Monday
234,7727,5004,650,167,2018-09-04,Tuesday
235,2149,1408,148,54,2018-09-05,Wednesday
236,8046,5262,475,180,2018-09-06,Thursday
237,4265,2751,387,96,2018-09-07,Friday
238,8718,5895,368,203,2018-09-08,Saturday
239,2080,1356,76,45,2018-09-09,Sunday
240,5087,3348,204,117,2018-09-10,Monday
241,6404,4154,475,138,2018-09-11,Tuesday
242,5180,3284,348,126,2018-09-12,Wednesday
243,6506,4153,510,153,2018-09-13,Thursday
244,7496,4967,383,167,2018-09-14,Friday
245,9481,6447,652,215,2018-09-15,Saturday
246,5456,3601,228,126,2018-09-16,Sunday
247,5223,3347,426,119,2018-09-17,Monday
248,5005,3198,402,111,2018-09-18,Tuesday
249,970,605,96,25,2018-09-19,Wednesday
250,6392,4158,510,143,2018-09-20,Thursday
251,5138,3321,258,111,2018-09-21,Friday
252,12790,8657,923,292,2018-09-22,Saturday
253,3469,2378,300,85,2018-09-23,Sunday
254,4540,2901,336,99,2018-09-24,Monday
255,5143,3358,172,114,2018-09-25,Tuesday
256,12048,8363,390,286,2018-09-26,Wednesday
257,7845,5142,485,177,2018-09-27,Thursday
